
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	03/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdc               0.00    63.33    0.00   74.67     0.00   722.67     9.68     0.17    2.31   2.20  16.40
sdd               0.00    64.33    0.00   97.33     0.00   912.00     9.37     0.29    2.93   2.89  28.17
dm-0              0.00     0.00    2.67  471.00    21.33  3386.67     7.19     1.39    2.94   1.68  79.50
dm-1              0.00     0.00    0.00  471.00     0.00  3386.67     7.19     1.39    2.95   1.69  79.57
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.00    1.00   0.13   0.03
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  416.00     0.00  3320.00     7.98     1.34    3.21   1.91  79.60
dm-6              0.00     0.00    0.00    8.33     0.00    66.67     8.00     0.06    6.84   0.36   0.30

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    42.33    0.00   75.67     0.00   557.33     7.37     0.16    2.11   2.10  15.90
sdb               2.33    41.33    0.33  105.33    21.33   786.67     7.65     0.39    3.70   3.46  36.57
sdc               0.00    38.33    0.00  105.00     0.00   760.00     7.24     0.32    3.03   3.01  31.63
sdd               0.00    43.33    0.00   75.33     0.00   562.67     7.47     0.15    1.95   1.90  14.30
dm-0              0.00     0.00    2.67  381.67    21.33  2666.67     6.99     0.92    2.41   2.08  80.10
dm-1              0.00     0.00    0.00  381.67     0.00  2666.67     6.99     0.93    2.43   2.10  80.13
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  331.67     0.00  2645.33     7.98     0.89    2.69   2.42  80.17
dm-6              0.00     0.00    0.00    2.33     0.00    18.67     8.00     0.03   14.71   7.86   1.83

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    41.00    0.00  101.67     0.00   896.00     8.81     0.36    3.53   3.33  33.87
sdb               0.00    38.67    0.00   77.00     0.00   621.33     8.07     0.19    2.52   2.29  17.67
sdc               0.00    40.67    0.00   77.67     0.00   634.67     8.17     0.16    2.04   1.98  15.40
sdd               0.00    40.00    0.00  113.00     0.00   912.00     8.07     0.41    3.67   3.41  38.57
dm-0              0.00     0.00    0.00  386.00     0.00  3064.00     7.94     0.96    2.47   2.10  81.03
dm-1              0.00     0.00    0.00  386.00     0.00  3064.00     7.94     0.96    2.47   2.10  81.07
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    7.00   7.00   0.70
dm-5              0.00     0.00    0.00  335.33     0.00  3026.67     9.03     0.91    2.71   2.41  80.73
dm-6              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.04    9.58   4.67   1.87

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    36.33    0.00   84.00     0.00   581.33     6.92     0.23    2.79   2.75  23.07
sdb               0.00    38.67    0.00  106.33     0.00   778.67     7.32     0.34    3.23   3.19  33.90
sdc               0.00    41.67    0.00   91.67     0.00   685.33     7.48     0.27    2.91   2.79  25.60
sdd               0.00    43.00    0.00   74.00     0.00   554.67     7.50     0.15    2.02   2.02  14.97
dm-0              0.00     0.00    0.00  372.67     0.00  2600.00     6.98     0.84    2.25   2.11  78.63
dm-1              0.00     0.00    0.00  372.67     0.00  2600.00     6.98     0.84    2.26   2.12  78.87
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  325.67     0.00  2597.33     7.98     0.84    2.59   2.42  78.97
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    59.33    0.00   78.33     0.00   741.33     9.46     0.21    2.74   2.71  21.23
sdb               0.00    60.33    0.00   70.67     0.00   688.00     9.74     0.18    2.55   2.33  16.47
sdc               0.00    59.67    0.00   87.00     0.00   813.33     9.35     0.30    3.49   3.25  28.27
sdd               0.00    49.00    0.00  104.00     0.00   864.00     8.31     0.40    3.84   3.72  38.73
dm-0              0.00     0.00    0.00  433.33     0.00  3106.67     7.17     1.22    2.83   1.88  81.30
dm-1              0.00     0.00    0.00  433.33     0.00  3106.67     7.17     1.23    2.83   1.88  81.40
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  387.33     0.00  3090.67     7.98     1.21    3.12   2.10  81.50
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.02   10.67   8.67   1.73

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    60.67    0.00   99.00     0.00   901.33     9.10     0.29    2.95   2.92  28.87
sdb               0.00    63.00    0.00  104.33     0.00   968.00     9.28     0.40    3.79   3.71  38.67
sdc               0.00    56.67    0.00   73.33     0.00   666.67     9.09     0.16    2.23   2.18  15.97
sdd               0.00    60.33    0.00   72.00     0.00   688.00     9.56     0.16    2.20   2.15  15.47
dm-0              0.00     0.00    0.00  449.67     0.00  3224.00     7.17     1.34    2.99   1.78  80.03
dm-1              0.00     0.00    0.00  449.67     0.00  3224.00     7.17     1.35    3.00   1.78  80.10
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    3.00   1.50   0.10
dm-5              0.00     0.00    0.00  403.67     0.00  3221.33     7.98     1.34    3.34   1.98  80.10
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    42.67    0.00   80.33     0.00   728.00     9.06     0.16    1.99   1.98  15.90
sdb               0.00    38.00    0.00   80.00     0.00   621.33     7.77     0.21    2.60   2.32  18.57
sdc               0.00    41.67    0.00  112.33     0.00   912.00     8.12     0.38    3.41   3.23  36.23
sdd               0.00    42.67    0.00  104.67     0.00   850.67     8.13     0.31    2.98   2.90  30.33
dm-0              0.00     0.00    0.00  392.00     0.00  3112.00     7.94     0.90    2.30   2.02  79.17
dm-1              0.00     0.00    0.00  392.00     0.00  3112.00     7.94     0.90    2.30   2.02  79.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    6.50   6.50   0.87
dm-5              0.00     0.00    0.00  340.67     0.00  3085.33     9.06     0.88    2.57   2.33  79.23
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.02   10.00   8.00   1.60

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    37.00    0.00  107.67     0.00   776.00     7.21     0.38    3.55   3.46  37.23
sdb               0.00    41.00    0.00   92.33     0.00   688.00     7.45     0.26    2.75   2.71  25.00
sdc               0.00    39.33    0.00   73.67     0.00   522.67     7.10     0.16    2.12   2.11  15.53
sdd               0.00    42.33    0.00   83.00     0.00   618.67     7.45     0.22    2.71   2.57  21.33
dm-0              0.00     0.00    0.00  373.33     0.00  2605.33     6.98     0.86    2.31   2.13  79.37
dm-1              0.00     0.00    0.00  373.33     0.00  2605.33     6.98     0.86    2.31   2.13  79.40
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.60   3.60   0.60
dm-5              0.00     0.00    0.00  322.67     0.00  2573.33     7.98     0.85    2.63   2.46  79.40
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    5.50   4.33   0.87

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    29.67    0.00   73.00     0.00   434.67     5.95     0.15    2.04   2.01  14.70
sdb               0.00    29.67    0.00   86.33     0.00   538.67     6.24     0.22    2.59   2.55  22.00
sdc               0.00    29.67    0.00  108.67     0.00   720.00     6.63     0.33    3.03   2.99  32.47
sdd               0.00    32.00    0.00   90.00     0.00   592.00     6.58     0.29    3.16   3.16  28.43
dm-0              0.00     0.00    0.00  334.00     0.00  2285.33     6.84     0.84    2.53   2.36  78.83
dm-1              0.00     0.00    0.00  334.00     0.00  2285.33     6.84     0.85    2.53   2.36  78.87
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  287.00     0.00  2288.00     7.97     0.85    2.95   2.75  79.03
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    49.00    0.00  109.00     0.00  1066.67     9.79     0.43    3.91   3.70  40.37
sdb               0.00    48.67    0.00   79.00     0.00   728.00     9.22     0.21    2.69   2.49  19.67
sdc               0.00    49.00    0.00   71.33     0.00   669.33     9.38     0.17    2.34   2.02  14.43
sdd               0.00    45.33    0.00   88.33     0.00   765.33     8.66     0.28    3.24   3.13  27.63
dm-0              0.00     0.00    0.00  402.33     0.00  3229.33     8.03     1.25    3.11   2.02  81.23
dm-1              0.00     0.00    0.00  402.33     0.00  3229.33     8.03     1.25    3.12   2.02  81.40
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  354.33     0.00  3194.67     9.02     1.24    3.50   2.30  81.43
dm-6              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.02    4.08   3.58   1.43

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    54.33    0.00   78.00     0.00   664.00     8.51     0.19    2.41   2.34  18.27
sdb               0.00    56.33    0.00  104.67     0.00   893.33     8.54     0.32    3.10   3.03  31.67
sdc               0.00    52.67    0.00  107.67     0.00   888.00     8.25     0.32    2.99   2.91  31.33
sdd               0.00    50.33    0.00   78.67     0.00   637.33     8.10     0.19    2.44   2.39  18.77
dm-0              0.00     0.00    0.00  434.67     0.00  3082.67     7.09     1.26    2.89   1.82  79.27
dm-1              0.00     0.00    0.00  434.67     0.00  3082.67     7.09     1.26    2.90   1.83  79.37
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.01    3.75   3.75   0.50
dm-5              0.00     0.00    0.00  375.67     0.00  2997.33     7.98     1.23    3.27   2.11  79.17
dm-6              0.00     0.00    0.00    9.33     0.00    74.67     8.00     0.03    3.00   0.25   0.23

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    29.00    0.00   97.33     0.00   640.00     6.58     0.32    3.33   3.25  31.63
sdb               0.00    26.33    0.00   73.67     0.00   426.67     5.79     0.16    2.14   2.07  15.27
sdc               0.00    30.67    0.00   72.67     0.00   456.00     6.28     0.15    2.08   2.09  15.20
sdd               0.00    31.00    0.00  100.33     0.00   677.33     6.75     0.38    3.81   3.57  35.83
dm-0              0.00     0.00    0.00  321.67     0.00  2200.00     6.84     0.97    3.01   2.48  79.90
dm-1              0.00     0.00    0.00  321.67     0.00  2200.00     6.84     0.97    3.02   2.49  80.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  272.67     0.00  2173.33     7.97     0.95    3.47   2.94  80.07
dm-6              0.00     0.00    0.00    3.67     0.00    29.33     8.00     0.02    6.64   4.36   1.60

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    29.00    0.00   80.67     0.00   490.67     6.08     0.22    2.79   2.70  21.80
sdb               0.00    30.33    0.00  104.67     0.00   696.00     6.65     0.36    3.48   3.41  35.73
sdc               0.00    32.33    0.00   93.00     0.00   618.67     6.65     0.27    2.91   2.83  26.33
sdd               0.00    32.67    0.00   78.00     0.00   501.33     6.43     0.19    2.40   2.24  17.47
dm-0              0.00     0.00    0.00  336.33     0.00  2306.67     6.86     0.90    2.67   2.37  79.63
dm-1              0.00     0.00    0.00  336.33     0.00  2306.67     6.86     0.90    2.67   2.37  79.70
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    4.40   4.20   0.70
dm-5              0.00     0.00    0.00  284.00     0.00  2264.00     7.97     0.88    3.09   2.81  79.77
dm-6              0.00     0.00    0.00    3.67     0.00    29.33     8.00     0.01    3.82   3.27   1.20

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    28.33    0.00   92.67     0.00   693.33     7.48     0.25    2.64   2.67  24.73
sdb               0.00    30.00    0.00   77.00     0.00   546.67     7.10     0.18    2.33   2.23  17.20
sdc               0.00    33.67    0.00   85.67     0.00   666.67     7.78     0.25    2.95   2.58  22.07
sdd               0.00    30.33    0.00  108.67     0.00   802.67     7.39     0.36    3.33   3.27  35.57
dm-0              0.00     0.00    0.00  340.33     0.00  2709.33     7.96     0.89    2.60   2.30  78.27
dm-1              0.00     0.00    0.00  340.33     0.00  2709.33     7.96     0.89    2.60   2.30  78.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  293.33     0.00  2706.67     9.23     0.89    3.03   2.67  78.43
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    48.67    0.00   83.00     0.00   701.33     8.45     0.26    3.12   2.98  24.73
sdb               0.00    49.33    0.00   99.67     0.00   840.00     8.43     0.39    3.91   3.88  38.63
sdc               0.00    47.67    0.00   80.67     0.00   674.67     8.36     0.23    2.81   2.79  22.47
sdd               0.00    45.00    0.00   69.33     0.00   562.67     8.12     0.16    2.34   2.25  15.63
dm-0              0.00     0.00    0.00  391.33     0.00  2778.67     7.10     1.11    2.85   2.06  80.47
dm-1              0.00     0.00    0.00  391.33     0.00  2778.67     7.10     1.11    2.85   2.06  80.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  346.33     0.00  2762.67     7.98     1.11    3.20   2.32  80.50
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    4.33   4.33   0.87

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    61.00    0.00   82.33     0.00   762.67     9.26     0.22    2.74   2.55  21.00
sdb               0.00    64.33    0.00   74.00     0.00   725.33     9.80     0.16    2.18   2.17  16.07
sdc               0.00    53.00    0.00   97.67     0.00   824.00     8.44     0.31    3.18   3.14  30.67
sdd               0.00    58.33    0.00  105.33     0.00   928.00     8.81     0.33    3.13   3.04  32.03
dm-0              0.00     0.00    0.00  452.67     0.00  3240.00     7.16     1.11    2.46   1.72  77.97
dm-1              0.00     0.00    0.00  452.67     0.00  3240.00     7.16     1.12    2.47   1.72  78.07
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  406.00     0.00  3240.00     7.98     1.12    2.76   1.93  78.17
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    43.00    0.00  107.00     0.00   946.67     8.85     0.33    3.07   2.92  31.20
sdb               0.00    36.67    0.00  111.67     0.00   877.33     7.86     0.37    3.31   3.21  35.83
sdc               0.00    42.33    0.00   78.33     0.00   642.67     8.20     0.18    2.29   2.24  17.57
sdd               0.00    42.67    0.00   80.33     0.00   658.67     8.20     0.19    2.37   2.27  18.20
dm-0              0.00     0.00    0.00  393.33     0.00  3125.33     7.95     0.92    2.33   2.05  80.57
dm-1              0.00     0.00    0.00  393.33     0.00  3125.33     7.95     0.92    2.33   2.05  80.63
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    5.00   5.00   0.83
dm-5              0.00     0.00    0.00  342.00     0.00  3096.00     9.05     0.90    2.63   2.35  80.53
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    5.50   5.50   1.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    41.67    0.00   72.00     0.00   541.33     7.52     0.16    2.24   2.15  15.47
sdb               2.33    38.00    0.33   71.33    21.33   506.67     7.37     0.16    2.20   2.19  15.67
sdc               0.00    39.00    0.00  103.67     0.00   770.67     7.43     0.36    3.50   3.44  35.70
sdd               0.00    42.00    0.00   97.33     0.00   746.67     7.67     0.35    3.55   3.47  33.77
dm-0              0.00     0.00    2.67  366.67    21.33  2565.33     7.00     0.89    2.43   2.18  80.47
dm-1              0.00     0.00    0.00  366.67     0.00  2565.33     7.00     0.87    2.38   2.20  80.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.02    9.00   1.12   0.30
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  321.67     0.00  2565.33     7.98     0.87    2.72   2.51  80.60
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    38.33    0.00  105.00     0.00   770.67     7.34     0.39    3.74   3.61  37.90
sdb               2.33    42.67    0.33   92.00    21.33   704.00     7.86     0.27    2.86   2.83  26.13
sdc               0.00    42.33    0.00   75.00     0.00   560.00     7.47     0.16    2.12   2.10  15.77
sdd               0.00    40.33    0.00   80.33     0.00   589.33     7.34     0.21    2.56   2.50  20.07
dm-0              0.00     0.00    2.67  375.33    21.33  2624.00     7.00     0.90    2.37   2.09  79.13
dm-1              0.00     0.00    0.00  375.33     0.00  2624.00     6.99     0.86    2.29   2.11  79.17
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.04   14.00   1.75   0.47
dm-4              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10
dm-5              0.00     0.00    0.00  327.33     0.00  2610.67     7.98     0.85    2.59   2.42  79.27
dm-6              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    7.20   6.40   1.07

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    59.33    0.00   79.67     0.00   872.00    10.95     0.20    2.52   2.48  19.77
sdb               0.00    60.33    0.00   88.67     0.00   877.33     9.89     0.26    2.99   2.91  25.77
sdc               0.00    62.67    0.00  103.67     0.00  1021.33     9.85     0.34    3.32   3.22  33.37
sdd               0.00    59.67    0.00   91.00     0.00   896.00     9.85     0.28    3.08   2.80  25.47
dm-0              0.00     0.00    0.00  461.00     0.00  3666.67     7.95     1.27    2.76   1.72  79.33
dm-1              0.00     0.00    0.00  461.00     0.00  3666.67     7.95     1.27    2.77   1.72  79.43
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.60   3.00   0.50
dm-5              0.00     0.00    0.00  412.33     0.00  3645.33     8.84     1.27    3.08   1.93  79.47
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    1.00   0.33   0.03

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    65.33    0.00  111.00     0.00  1029.33     9.27     0.35    3.17   3.14  34.83
sdb               0.00    61.33    0.00   83.33     0.00   778.67     9.34     0.25    2.96   2.93  24.40
sdc               0.00    58.33    0.00   74.33     0.00   680.00     9.15     0.15    2.06   2.04  15.13
sdd               0.00    61.00    0.00   93.00     0.00   848.00     9.12     0.29    3.11   2.88  26.77
dm-0              0.00     0.00    0.00  464.67     0.00  3336.00     7.18     1.17    2.51   1.74  80.63
dm-1              0.00     0.00    0.00  464.67     0.00  3336.00     7.18     1.17    2.51   1.74  80.70
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  406.00     0.00  3240.00     7.98     1.11    2.73   1.98  80.50
dm-6              0.00     0.00    0.00   11.67     0.00    93.33     8.00     0.06    5.23   1.20   1.40

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    40.33    0.00   69.00     0.00   514.67     7.46     0.16    2.28   2.17  15.00
sdb               0.00    36.00    0.00   93.33     0.00   674.67     7.23     0.33    3.52   3.39  31.67
sdc               0.00    36.67    0.00  102.00     0.00   752.00     7.37     0.37    3.64   3.61  36.83
sdd               0.00    39.33    0.00   70.00     0.00   514.67     7.35     0.17    2.47   2.32  16.27
dm-0              0.00     0.00    0.00  352.00     0.00  2456.00     6.98     0.89    2.53   2.29  80.70
dm-1              0.00     0.00    0.00  352.00     0.00  2456.00     6.98     0.89    2.53   2.30  80.83
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  308.33     0.00  2458.67     7.97     0.89    2.90   2.63  81.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    34.67    0.00   96.33     0.00   682.67     7.09     0.33    3.44   3.27  31.53
sdb               0.00    39.67    0.00   71.33     0.00   517.33     7.25     0.15    2.11   2.08  14.83
sdc               0.00    42.33    0.00   75.00     0.00   568.00     7.57     0.17    2.30   2.27  17.03
sdd               0.00    40.00    0.00  104.33     0.00   789.33     7.57     0.41    3.88   3.70  38.63
dm-0              0.00     0.00    0.00  365.67     0.00  2557.33     6.99     0.90    2.47   2.21  80.90
dm-1              0.00     0.00    0.00  365.67     0.00  2557.33     6.99     0.91    2.47   2.22  81.07
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    7.60   7.00   1.17
dm-5              0.00     0.00    0.00  313.33     0.00  2498.67     7.97     0.88    2.81   2.58  80.93
dm-6              0.00     0.00    0.00    5.67     0.00    45.33     8.00     0.01    2.35   1.88   1.07

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    42.00    0.00   89.33     0.00   794.67     8.90     0.24    2.71   2.46  21.97
sdb               0.00    41.33    0.00  111.33     0.00   904.00     8.12     0.35    3.17   3.10  34.50
sdc               0.00    41.00    0.00   98.00     0.00   794.67     8.11     0.27    2.81   2.72  26.63
sdd               0.00    41.33    0.00   78.33     0.00   629.33     8.03     0.17    2.16   2.13  16.70
