
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 348380 2502664 253808 1666192    0    0     0  1314 1938 5087 62  8  0 30  0	
 1  1 348380 2502392 253816 1666576    0    0     0  1824 1944 5038 61  9  0 30  0	
 1  1 348380 2502152 253824 1666928    0    0     0  1630 1900 4769 61  8  0 31  0	
 3  1 348352 2500516 253824 1666296   16    0    16  1336 1918 4963 61  9  0 31  0	
 2  1 348348 2500392 253824 1666640    0    0     0  1266 1879 4816 60  9  0 31  0	
 1  1 348328 2500020 253832 1666992   16    0    16  1298 1853 4808 61  8  0 31  0	
 2  1 348328 2499524 253840 1667356    0    0     0  1808 1883 5018 61  9  0 30  0	
 2  1 348328 2500052 253840 1666748    0    0     0  1588 1868 4809 61  7  0 31  0	
 1  1 348328 2499936 253848 1667080    0    0     0  1848 1887 4863 61  9  0 31  0	
 3  1 348328 2499836 253848 1667424    0    0     0  1246 1865 4637 60  9  0 31  0	
 1  1 348328 2499348 253848 1667756    0    0     0  1230 1850 4677 60  8  0 31  0	
 2  1 348328 2500232 253864 1667124    0    0     0  1292 1878 4699 61  9  0 31  0	
 2  1 348328 2499984 253864 1667484    0    0     0  1676 1910 4994 62  7  0 31  0	
 3  1 348328 2499620 253864 1667832    0    0     0  1810 1898 4954 60  9  0 31  0	
 1  1 348324 2499488 253872 1667200    0    0     0  1588 1893 4779 61  9  0 30  0	
 1  1 348324 2499488 253872 1667544    0    0     0  1292 1855 4845 61  8  0 31  0	
 2  1 348324 2498844 253888 1667908    0    0     0  1780 1882 4736 60  9  0 31  0	
 1  1 348324 2498472 253888 1668260    0    0     0  1594 1865 4862 61  8  0 31  0	
 4  1 348324 2498968 253888 1667656    0    0     0  1822 1898 5136 62  8  0 30  0	
 1  1 348324 2498844 253896 1668012    0    0     0  1664 1958 4979 61  8  0 30  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348324 2498480 253896 1668336    0    0     0  1250 1841 4774 61  8  0 31  0	
 2  1 348324 2498264 253912 1668688    0    0     0  1236 1842 4657 61  8  0 31  0	
 3  0 348324 2498884 253912 1668052    0    0     0  1578 1855 4682 60  8  0 31  0	
 2  1 348324 2498784 253912 1668396    0    0     0  1892 1917 4963 62  8  0 30  0	
 3  0 348324 2498148 253920 1668764    0    0     0  1328 1898 5078 62  8  0 30  0	
 2  1 348324 2498520 253920 1668148    0    0     0  1608 1891 5034 61  8  0 30  0	
 2  1 348324 2498396 253940 1668496    0    0     0  1608 1903 4728 61  9  0 30  0	
 2  1 348324 2498148 253940 1668824    0    0     0  1394 1842 4631 60  8  0 32  0	
 1  1 348320 2497660 253944 1669172    0    0     0  1154 1914 4986 62  8  0 30  0	
 3  0 348292 2496084 253960 1668568   16    0    34  1092 1865 4647 61  7  0 31  0	
