
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	05/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    32.67    0.00   73.33     0.00   493.33     6.73     0.22    2.98   2.82  20.67
sdb               0.00    31.67    0.00   69.67     0.00   453.33     6.51     0.20    2.94   2.80  19.50
sdc               0.00    29.00    0.00   89.33     0.00   586.67     6.57     0.32    3.56   3.50  31.27
sdd               0.00    26.33    0.00  104.33     0.00   688.00     6.59     0.37    3.51   3.48  36.30
dm-0              0.00     0.00    0.00  322.33     0.00  2221.33     6.89     0.92    2.84   2.58  83.13
dm-1              0.00     0.00    0.00  322.33     0.00  2221.33     6.89     0.92    2.85   2.58  83.23
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.67     0.00     5.33     8.00     0.00    2.50   1.50   0.10
dm-5              0.00     0.00    0.00  273.67     0.00  2181.33     7.97     0.90    3.29   3.03  82.93
dm-6              0.00     0.00    0.00    4.33     0.00    34.67     8.00     0.02    4.00   3.62   1.57

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    28.33    0.00   95.33     0.00   786.67     8.25     0.38    4.05   3.81  36.33
sdb               0.00    26.67    0.00   88.00     0.00   669.33     7.61     0.35    4.03   3.97  34.93
sdc               0.00    22.00    0.00   65.33     0.00   477.33     7.31     0.18    2.76   2.71  17.70
sdd               0.00    28.00    0.00   63.33     0.00   466.67     7.37     0.19    2.93   2.74  17.37
